Date_________JDUT     R.A.___(ICRF)___DEC            delta      deldot
**********************************************************************
$$SOE
2456537.500000000     211.94291 -13.69244 1.17678514059639   0.2662331
2456538.500000000     212.89549 -14.01035 1.17694347353948   0.2819578
2456539.500000000     213.85086 -14.32458 1.17711078463718   0.2973184
2456540.500000000     214.80906 -14.63504 1.17728685948887   0.3123026
2456541.500000000     215.77011 -14.94162 1.17747148135915   0.3269162
2456542.500000000     216.73404 -15.24423 1.17766444261567   0.3411853
2456543.500000000     217.70087 -15.54275 1.17786555726003   0.3551569
2456544.500000000     218.67060 -15.83710 1.17807467405850   0.3689102
2456545.500000000     219.64326 -16.12717 1.17829169413414   0.3825410
2456546.500000000     220.61884 -16.41286 1.17851657921286   0.3961644
2456547.500000000     221.59734 -16.69407 1.17874936158660   0.4099088
2456548.500000000     222.57876 -16.97070 1.17899014954580   0.4239070
2456549.500000000     223.56310 -17.24265 1.17923912761975   0.4382891
2456550.500000000     224.55034 -17.50982 1.17949655178324   0.4531700
2456551.500000000     225.54048 -17.77213 1.17976273692570   0.4686369
2456552.500000000     226.53351 -18.02946 1.18003803753804   0.4847381
2456553.500000000     227.52942 -18.28173 1.18032282304601   0.5014755
2456554.500000000     228.52822 -18.52886 1.18061744888013   0.5187997
2456555.500000000     229.52989 -18.77074 1.18092222964786   0.5366203
2456556.500000000     230.53444 -19.00730 1.18123741882081   0.5548194
2456557.500000000     231.54185 -19.23844 1.18156319787945   0.5732677
2456558.500000000     232.55212 -19.46407 1.18189967413214   0.5918403
2456559.500000000     233.56523 -19.68413 1.18224688673370   0.6104269
2456560.500000000     234.58117 -19.89851 1.18260481719581   0.6289375
2456561.500000000     235.59991 -20.10713 1.18297339578577   0.6472866
2456562.500000000     236.62144 -20.30993 1.18335251178094   0.6654153
2456563.500000000     237.64571 -20.50681 1.18374202158600   0.6832676
2456564.500000000     238.67268 -20.69769 1.18414175003246   0.7007903
2456565.500000000     239.70233 -20.88251 1.18455149198554   0.7179350
2456566.500000000     240.73459 -21.06118 1.18497101301247   0.7346399
2456567.500000000     241.76944 -21.23362 1.18539995661178   0.7508655
2456568.500000000     242.80678 -21.39977 1.18583820990786   0.7665575
2456569.500000000     243.84656 -21.55955 1.18628536453831   0.7816837
2456570.500000000     244.88871 -21.71291 1.18674108854202   0.7962303
2456571.500000000     245.93315 -21.85976 1.18720505093958   0.8102161
2456572.500000000     246.97980 -22.00006 1.18767694025695   0.8236896
2456573.500000000     248.02856 -22.13372 1.18815648470581   0.8367412
2456574.500000000     249.07933 -22.26070 1.18864347368745   0.8494889
2456575.500000000     250.13201 -22.38094 1.18913777090239   0.8620711
2456576.500000000     251.18649 -22.49439 1.18963932289500   0.8746342
2456577.500000000     252.24266 -22.60098 1.19014815971961   0.8873182
2456578.500000000     253.30041 -22.70068 1.19066438826556   0.9002483
2456579.500000000     254.35963 -22.79344 1.19118818101882   0.9135245
2456580.500000000     255.42020 -22.87922 1.19171975902385   0.9272145
2456581.500000000     256.48202 -22.95798 1.19225937251783   0.9413516
2456582.500000000     257.54497 -23.02968 1.19280728173310   0.9559347
2456583.500000000     258.60896 -23.09429 1.19336373190314   0.9709170
2456584.500000000     259.67388 -23.15179 1.19392893634477   0.9862346
2456585.500000000     260.73962 -23.20213 1.19450306395701   1.0017983
2456586.500000000     261.80609 -23.24531 1.19508622773341   1.0175072
2456587.500000000     262.87318 -23.28130 1.19567848330695   1.0332637
2456588.500000000     263.94080 -23.31008 1.19627983012737   1.0489723
2456589.500000000     265.00882 -23.33165 1.19689021621576   1.0645505
2456590.500000000     266.07716 -23.34598 1.19750954415446   1.0799234
2456591.500000000     267.14570 -23.35308 1.19813767597913   1.0950244
2456592.500000000     268.21435 -23.35293 1.19877443639836   1.1097910
2456593.500000000     269.28298 -23.34554 1.19941961435990   1.1241609
2456594.500000000     270.35149 -23.33091 1.20007296212930   1.1380692
2456595.500000000     271.41978 -23.30904 1.20073419337959   1.1514464
2456596.500000000     272.48772 -23.27995 1.20140298042975   1.1642204
2456597.500000000     273.55522 -23.24365 1.20207895435147   1.1763210
2456598.500000000     274.62215 -23.20013 1.20276065904072   1.1876879
2456599.500000000     275.68841 -23.14945 1.20344975713808   1.1982866
2456600.500000000     276.75387 -23.09161 1.20414475516819   1.2081221
2456601.500000000     277.81842 -23.02664 1.20484522515704   1.2172473
2456602.500000000     278.88192 -22.95458 1.20555078458571   1.2257664
2456603.500000000     279.94426 -22.87545 1.20626112342359   1.2338230
2456604.500000000     281.00530 -22.78930 1.20697602132691   1.2415809
2456605.500000000     282.06494 -22.69616 1.20769535349984   1.2492036
2456606.500000000     283.12304 -22.59609 1.20841908540897   1.2568391
2456607.500000000     284.17950 -22.48911 1.20914725934026   1.2646005
2456608.500000000     285.23420 -22.37529 1.20987997431249   1.2725745
2456609.500000000     286.28705 -22.25468 1.21061736987805   1.2808141
2456610.500000000     287.33795 -22.12732 1.21135960733216   1.2893417
2456611.500000000     288.38681 -21.99328 1.21210685294656   1.2981528
2456612.500000000     289.43354 -21.85261 1.21285926419959   1.3072237
2456613.500000000     290.47809 -21.70537 1.21361697670729   1.3164985
2456614.500000000     291.52036 -21.55162 1.21438009188794   1.3259200
2456615.500000000     292.56031 -21.39143 1.21514867397433   1.3354163
2456616.500000000     293.59786 -21.22486 1.21592274467856   1.3449125
2456617.500000000     294.63297 -21.05198 1.21670228234636   1.3543342
2456618.500000000     295.66559 -20.87286 1.21748722279525   1.3636088
2456619.500000000     296.69566 -20.68758 1.21827746124505   1.3726686
2456620.500000000     297.72315 -20.49619 1.21907285464932   1.3814477
2456621.500000000     298.74802 -20.29879 1.21987322221779   1.3898816
2456622.500000000     299.77023 -20.09544 1.22067834505415   1.3979018
2456623.500000000     300.78975 -19.88623 1.22148796321149   1.4054344
2456624.500000000     301.80654 -19.67123 1.22230177170036   1.4123969
2456625.500000000     302.82060 -19.45053 1.22311941542324   1.4186990
2456626.500000000     303.83188 -19.22421 1.22394048583898   1.4242475
2456627.500000000     304.84038 -18.99236 1.22476452279078   1.4289584
2456628.500000000     305.84604 -18.75504 1.22559218309126   1.4327748
2456629.500000000     306.84889 -18.51239 1.22642062667082   1.4356871
2456630.500000000     307.84888 -18.26448 1.22725050244299   1.4377486
2456631.500000000     308.84599 -18.01140 1.22808134990003   1.4390760
2456632.500000000     309.84018 -17.75324 1.22891279111614   1.4398348
2456633.500000000     310.83145 -17.49011 1.22974455140169   1.4402127
2456634.500000000     311.81978 -17.22211 1.23057646268151   1.4403846
2456635.500000000     312.80514 -16.94933 1.23140845081962   1.4405009
2456636.500000000     313.78753 -16.67188 1.23224051787325   1.4406732
2456637.500000000     314.76695 -16.38984 1.23307271945543   1.4409766
2456638.500000000     315.74340 -16.10332 1.23390514523784   1.4414545
2456639.500000000     316.71689 -15.81242 1.23473790252835   1.4421261
2456640.500000000     317.68745 -15.51723 1.23557110413439   1.4429915
2456641.500000000     318.65509 -15.21786 1.23640485815697   1.4440354
2456642.500000000     319.61985 -14.91439 1.23723926011179   1.4452297
2456643.500000000     320.58174 -14.60693 1.23807438647748   1.4465365
2456644.500000000     321.54082 -14.29557 1.23891028901947   1.4479116
2456645.500000000     322.49712 -13.98042 1.23974699195319   1.4492964
2456646.500000000     323.45069 -13.66155 1.24058448482924   1.4506370
2456647.500000000     324.40157 -13.33908 1.24142272509421   1.4518744
2456648.500000000     325.34982 -13.01310 1.24226163546758   1.4529471
2456649.500000000     326.29549 -12.68370 1.24310110295719   1.4537929
2456650.500000000     327.23864 -12.35098 1.24394097763259   1.4543458
2456651.500000000     328.17932 -12.01503 1.24478106989299   1.4545337
2456652.500000000     329.11761 -11.67596 1.24562114649263   1.4542765
2456653.500000000     330.05356 -11.33386 1.24646092337731   1.4534801
2456654.500000000     330.98724 -10.98882 1.24730005998964   1.4520415
2456655.500000000     331.91871 -10.64094 1.24813815363287   1.4498505
2456656.500000000     332.84804 -10.29032 1.24897473994426   1.4468055
2456657.500000000     333.77528  -9.93706 1.24980930080771   1.4428293
2456658.500000000     334.70051  -9.58126 1.25064128945132   1.4379008
2456659.500000000     335.62380  -9.22316 1.25146824690810   1.4320659
2456660.500000000     336.54516  -8.86257 1.25229352088088   1.4254544
2456661.500000000     337.46467  -8.49974 1.25311479275817   1.4182402
2456662.500000000     338.38237  -8.13478 1.25393177120738   1.4106205
2456663.500000000     339.29832  -7.76780 1.25474427663425   1.4027801
2456664.500000000     340.21256  -7.39890 1.25555222691711   1.3948693
2456665.500000000     341.12517  -7.02817 1.25635561485632   1.3869970
2456666.500000000     342.03620  -6.65572 1.25715448558969   1.3792376
2456667.500000000     342.94572  -6.28164 1.25794891700888   1.3716310
2456668.500000000     343.85379  -5.90604 1.25873900535759   1.3642003
2456669.500000000     344.76048  -5.52902 1.25952485448161   1.3569524
