Date_________JDUT     R.A.___(ICRF)___DEC            delta      deldot
**********************************************************************
$$SOE
2457590.500000000     162.26722   6.74926 1.48292217387921  -0.4093708
2457591.500000000     163.17045   6.37531 1.48268803081311  -0.4013057
2457592.500000000     164.07244   5.99977 1.48245868438649  -0.3927814
2457593.500000000     164.97328   5.62271 1.48223436331558  -0.3839278
2457594.500000000     165.87307   5.24422 1.48201521679477  -0.3748882
2457595.500000000     166.77188   4.86441 1.48180130956900  -0.3658096
2457596.500000000     167.66983   4.48335 1.48159262395103  -0.3568290
2457597.500000000     168.56698   4.10114 1.48138906792580  -0.3480651
2457598.500000000     169.46342   3.71788 1.48119048892867  -0.3396074
2457599.500000000     170.35925   3.33365 1.48099669225170  -0.3315115
2457600.500000000     171.25454   2.94854 1.48080746271160  -0.3237918
2457601.500000000     172.14937   2.56265 1.48062258861305  -0.3164225
2457602.500000000     173.04383   2.17612 1.48044097742995  -0.3093414
2457603.500000000     173.93797   1.78896 1.48026430008124  -0.3024593
2457604.500000000     174.83187   1.40131 1.48009156708999  -0.2956661
2457605.500000000     175.72561   1.01326 1.47992275822343  -0.2888531
2457606.500000000     176.61926   0.62492 1.47975791523371  -0.2819170
2457607.500000000     177.51289   0.23637 1.47959713658285  -0.2747657
2457608.500000000     178.40656  -0.15227 1.47944056929346  -0.2673227
2457609.500000000     179.30037  -0.54093 1.47928840085302  -0.2595245
2457610.500000000     180.19437  -0.92949 1.47914085193169  -0.2513185
2457611.500000000     181.08865  -1.31787 1.47899817201100  -0.2426563
2457612.500000000     181.98328  -1.70596 1.47886063750478  -0.2334947
2457613.500000000     182.87834  -2.09368 1.47872855013811  -0.2237870
2457614.500000000     183.77391  -2.48091 1.47860223877968  -0.2134864
2457615.500000000     184.67006  -2.86757 1.47848205907341  -0.2025479
2457616.500000000     185.56687  -3.25356 1.47836839108570  -0.1909327
2457617.500000000     186.46443  -3.63878 1.47826163290152  -0.1786198
2457618.500000000     187.36282  -4.02314 1.47816218769139  -0.1656138
2457619.500000000     188.26213  -4.40655 1.47807044578579  -0.1519572
2457620.500000000     189.16244  -4.78891 1.47798675831211  -0.1377406
2457621.500000000     190.06385  -5.17012 1.47791141636268  -0.1230841
2457622.500000000     190.96644  -5.55010 1.47784462879545  -0.1081473
2457623.500000000     191.87031  -5.92876 1.47778650800829  -0.0931006
2457624.500000000     192.77555  -6.30599 1.47773707170772  -0.0781026
2457625.500000000     193.68224  -6.68172 1.47769624896942  -0.0632956
2457626.500000000     194.59048  -7.05583 1.47766389587381  -0.0487903
2457627.500000000     195.50033  -7.42825 1.47763981589121  -0.0346578
2457628.500000000     196.41189  -7.79888 1.47762378036217  -0.0209386
2457629.500000000     197.32522  -8.16761 1.47761554704804  -0.0076409
2457630.500000000     198.24039  -8.53435 1.47761487869374   0.0052641
2457631.500000000     199.15748  -8.89900 1.47762156100013   0.0178217
2457632.500000000     200.07654  -9.26147 1.47763541104252   0.0300958
2457633.500000000     200.99760  -9.62169 1.47765632185367   0.0421695
2457634.500000000     201.92078  -9.97948 1.47768413456796   0.0541237
2457635.500000000     202.84611 -10.33477 1.47771883663433   0.0660392
2457636.500000000     203.77364 -10.68747 1.47776042815227   0.0779912
2457637.500000000     204.70342 -11.03747 1.47780895112039   0.0900514
2457638.500000000     205.63550 -11.38467 1.47786448552678   0.1022798
2457639.500000000     206.56993 -11.72897 1.47792714529713   0.1147331
2457640.500000000     207.50676 -12.07027 1.47799707584405   0.1274654
2457641.500000000     208.44604 -12.40846 1.47807445432402   0.1405324
2457642.500000000     209.38780 -12.74344 1.47815949091963   0.1539936
2457643.500000000     210.33210 -13.07511 1.47825243181806   0.1679132
2457644.500000000     211.27898 -13.40337 1.47835356082725   0.1823576
2457645.500000000     212.22847 -13.72811 1.47846319936532   0.1973884
2457646.500000000     213.18062 -14.04924 1.47858170033234   0.2130508
2457647.500000000     214.13547 -14.36665 1.47870943396867   0.2293566
2457648.500000000     215.09306 -14.68024 1.47884676422996   0.2462700
2457649.500000000     216.05344 -14.98992 1.47899401780265   0.2636976
2457650.500000000     217.01665 -15.29559 1.47915145118473   0.2814915
2457651.500000000     217.98274 -15.59715 1.47931922556671   0.2994737
2457652.500000000     218.95174 -15.89451 1.47949739439186   0.3174534
2457653.500000000     219.92370 -16.18757 1.47968590524024   0.3352586
2457654.500000000     220.89864 -16.47624 1.47988461549122   0.3527510
2457655.500000000     221.87660 -16.76042 1.48009331340273   0.3698304
2457656.500000000     222.85759 -17.04002 1.48031174252915   0.3864392
2457657.500000000     223.84163 -17.31494 1.48053962230107   0.4025506
2457658.500000000     224.82873 -17.58508 1.48077666094461   0.4181571
2457659.500000000     225.81890 -17.85036 1.48102257204636   0.4332779
2457660.500000000     226.81212 -18.11067 1.48127708479069   0.4479483
2457661.500000000     227.80840 -18.36591 1.48153995137158   0.4622123
2457662.500000000     228.80771 -18.61600 1.48181095242788   0.4761260
2457663.500000000     229.81004 -18.86084 1.48208991087664   0.4897488
2457664.500000000     230.81538 -19.10034 1.48237666027973   0.5031423
2457665.500000000     231.82368 -19.33440 1.48267109508640   0.5163710
2457666.500000000     232.83492 -19.56294 1.48297313749882   0.5294946
2457667.500000000     233.84906 -19.78586 1.48328274417886   0.5425742
2457668.500000000     234.86607 -20.00307 1.48359990670856   0.5556681
2457669.500000000     235.88589 -20.21449 1.48392465076773   0.5688370
2457670.500000000     236.90848 -20.42003 1.48425703763252   0.5821449
2457671.500000000     237.93380 -20.61960 1.48459716895707   0.5956657
2457672.500000000     238.96177 -20.81313 1.48494519001330   0.6094781
2457673.500000000     239.99236 -21.00053 1.48530129406426   0.6236696
2457674.500000000     241.02549 -21.18172 1.48566572470893   0.6383239
2457675.500000000     242.06110 -21.35664 1.48603877021923   0.6535094
2457676.500000000     243.09914 -21.52519 1.48642074877779   0.6692572
2457677.500000000     244.13954 -21.68732 1.48681198091886   0.6855417
2457678.500000000     245.18224 -21.84296 1.48721275243084   0.7022676
2457679.500000000     246.22719 -21.99203 1.48762327577704   0.7192786
2457680.500000000     247.27431 -22.13449 1.48804365887123   0.7363750
2457681.500000000     248.32354 -22.27026 1.48847389301264   0.7533581
2457682.500000000     249.37482 -22.39929 1.48891386018948   0.7700511
2457683.500000000     250.42807 -22.52152 1.48936335211696   0.7863207
2457684.500000000     251.48321 -22.63691 1.48982209614569   0.8020768
2457685.500000000     252.54015 -22.74540 1.49028977882436   0.8172667
2457686.500000000     253.59881 -22.84694 1.49076606530541   0.8318668
2457687.500000000     254.65908 -22.94150 1.49125061295386   0.8458735
2457688.500000000     255.72087 -23.02902 1.49174308153261   0.8592970
2457689.500000000     256.78406 -23.10947 1.49224313940914   0.8721571
2457690.500000000     257.84855 -23.18280 1.49275046914517   0.8844828
2457691.500000000     258.91422 -23.24899 1.49326477211261   0.8963095
2457692.500000000     259.98096 -23.30801 1.49378577185728   0.9076794
2457693.500000000     261.04864 -23.35982 1.49431321811605   0.9186402
2457694.500000000     262.11714 -23.40439 1.49484667150540   0.9292437
2457695.500000000     263.18633 -23.44172 1.49538637747748   0.9395462
2457696.500000000     264.25609 -23.47179 1.49593196111753   0.9496067
2457697.500000000     265.32629 -23.49457 1.49648330086148   0.9594887
2457698.500000000     266.39680 -23.51005 1.49704031291656   0.9692602
2457699.500000000     267.46748 -23.51824 1.49760295485679   0.9789965
2457700.500000000     268.53822 -23.51911 1.49817123024696   0.9887823
2457701.500000000     269.60886 -23.51268 1.49874519465274   0.9987124
2457702.500000000     270.67930 -23.49894 1.49932496088532   1.0088897
2457703.500000000     271.74939 -23.47790 1.49991070148257   1.0194162
2457704.500000000     272.81902 -23.44957 1.50050264415057   1.0303774
2457705.500000000     273.88806 -23.41397 1.50110105586668   1.0418197
2457706.500000000     274.95640 -23.37110 1.50170621349677   1.0537277
2457707.500000000     276.02393 -23.32099 1.50231836328203   1.0660103
2457708.500000000     277.09055 -23.26366 1.50293767910240   1.0785111
2457709.500000000     278.15617 -23.19914 1.50356423118769   1.0910334
2457710.500000000     279.22067 -23.12746 1.50419797361607   1.1033773
2457711.500000000     280.28397 -23.04865 1.50483875031108   1.1153671
2457712.500000000     281.34598 -22.96274 1.50548631999623   1.1268798
2457713.500000000     282.40660 -22.86978 1.50614037849979   1.1378251
2457714.500000000     283.46573 -22.76980 1.50680058221629   1.1481527
2457715.500000000     284.52328 -22.66286 1.50746656587628   1.1578401
2457716.500000000     285.57916 -22.54899 1.50813795649612   1.1668715
2457717.500000000     286.63327 -22.42825 1.50881437495931   1.1752509
2457718.500000000     287.68552 -22.30070 1.50949544682973   1.1829867
2457719.500000000     288.73582 -22.16638 1.51018080397898   1.1900924
2457720.500000000     289.78409 -22.02536 1.51087008775080   1.1965873
2457721.500000000     290.83022 -21.87770 1.51156295400164   1.2025032
2457722.500000000     291.87415 -21.72346 1.51225907567393   1.2078660
2457723.500000000     292.91579 -21.56271 1.51295814675950   1.2127241
2457724.500000000     293.95505 -21.39557 1.51366045590042   1.2171345
2457725.500000000     294.99188 -21.22201 1.51436463105906   1.2211502
2457726.500000000     296.02618 -21.04214 1.51507102975954   1.2248464
2457727.500000000     297.05790 -20.85606 1.51577948969365   1.2283019
2457728.500000000     298.08696 -20.66382 1.51648989724967   1.2316061
2457729.500000000     299.11330 -20.46553 1.51720219326540   1.2348584
2457730.500000000     300.13686 -20.26125 1.51791637855032   1.2381671
2457731.500000000     301.15760 -20.05106 1.51863251791315   1.2416449
2457732.500000000     302.17546 -19.83507 1.51935074330327   1.2454071
2457733.500000000     303.19040 -19.61334 1.52007124594643   1.2495431
2457734.500000000     304.20240 -19.38597 1.52079425909038   1.2541042
2457735.500000000     305.21142 -19.15304 1.52152002768456   1.2590781
2457736.500000000     306.21745 -18.91464 1.52224877224501   1.2643888
2457737.500000000     307.22048 -18.67087 1.52298064743371   1.2698907
2457738.500000000     308.22051 -18.42181 1.52371571273672   1.2754039
2457739.500000000     309.21755 -18.16755 1.52445392103523   1.2807447
2457740.500000000     310.21159 -17.90818 1.52519512446797   1.2857513
2457741.500000000     311.20264 -17.64379 1.52593909240221   1.2902998
2457742.500000000     312.19072 -17.37449 1.52668553350403   1.2943039
2457743.500000000     313.17584 -17.10036 1.52743411681764   1.2977119
2457744.500000000     314.15800 -16.82149 1.52818448712664   1.3004868
2457745.500000000     315.13723 -16.53799 1.52893627358212   1.3026135
2457746.500000000     316.11354 -16.24995 1.52968909862587   1.3040820
2457747.500000000     317.08694 -15.95746 1.53044258047842   1.3048912
2457748.500000000     318.05745 -15.66063 1.53119633780049   1.3050322
2457749.500000000     319.02511 -15.35956 1.53194998545047   1.3045129
2457750.500000000     319.98992 -15.05434 1.53270314542202   1.3033462
2457751.500000000     320.95192 -14.74507 1.53345544944119   1.3015540
2457752.500000000     321.91112 -14.43186 1.53420654565863   1.2991712
2457753.500000000     322.86756 -14.11480 1.53495610697542   1.2962489
2457754.500000000     323.82128 -13.79400 1.53570384895504   1.2928538
2457755.500000000     324.77230 -13.46967 1.53644952733697   1.2890675
2457756.500000000     325.72063 -13.14169 1.53719290522804   1.2849858
2457757.500000000     326.66631 -12.81028 1.53793386616690   1.2807171
2457758.500000000     327.60939 -12.47553 1.53867233504371   1.2763766
2457759.500000000     328.54990 -12.13755 1.53940830573353   1.2720875
2457760.500000000     329.48788 -11.79645 1.54014184326180   1.2679700
2457761.500000000     330.42339 -11.45232 1.54087307923183   1.2641352
2457762.500000000     331.35647 -11.10528 1.54160220278939   1.2606653
2457763.500000000     332.28718 -10.75541 1.54232943967220   1.2576069
2457764.500000000     333.21557 -10.40282 1.54305502771987   1.2549493
2457765.500000000     334.14173 -10.04761 1.54377918118320   1.2526229
2457766.500000000     335.06571  -9.68987 1.54450205801326   1.2505053
2457767.500000000     335.98759  -9.32971 1.54522373640859   1.2484469
2457768.500000000     336.90746  -8.96721 1.54594420495449   1.2462907
2457769.500000000     337.82539  -8.60248 1.54666336367654   1.2438920
2457770.500000000     338.74145  -8.23561 1.54738104063553   1.2411407
2457771.500000000     339.65574  -7.86670 1.54809700473829   1.2379491
2457772.500000000     340.56832  -7.49584 1.54881098323893   1.2342571
2457773.500000000     341.47929  -7.12312 1.54952267468027   1.2300241
2457774.500000000     342.38871  -6.74865 1.55023175694088   1.2252181
2457775.500000000     343.29666  -6.37252 1.55093789403071   1.2198226
2457776.500000000     344.20323  -5.99483 1.55164073894875   1.2138152
2457777.500000000     345.10848  -5.61567 1.55233993316945   1.2071788
2457778.500000000     346.01251  -5.23514 1.55303510951650   1.1999008
2457779.500000000     346.91537  -4.85333 1.55372589510650   1.1919749
2457780.500000000     347.81716  -4.47035 1.55441191688708   1.1834077
2457781.500000000     348.71794  -4.08629 1.55509281056131   1.1742236
2457782.500000000     349.61779  -3.70124 1.55576823226885   1.1644698
2457783.500000000     350.51677  -3.31532 1.55643787243943   1.1542179
2457784.500000000     351.41496  -2.92860 1.55710147040377   1.1435657
2457785.500000000     352.31244  -2.54120 1.55775882787151   1.1326298
2457786.500000000     353.20924  -2.15312 1.55841045877402   1.1215416
2457787.500000000     354.10548  -1.76465 1.55905503372620   1.1104375
2457788.500000000     355.00122  -1.37579 1.55969322312810   1.0994518
2457789.500000000     355.89652  -0.98664 1.56032513086999   1.0887048
2457790.500000000     356.79145  -0.59730 1.56095092517177   1.0782970
2457791.500000000     357.68611  -0.20786 1.56157082315829   1.0682961
2457792.500000000     358.58056   0.18157 1.56218507077152   1.0587328
2457793.500000000     359.47490   0.57091 1.56279391831427   1.0495911
2457794.500000000       0.36920   0.96006 1.56339759435238   1.0408120
2457795.500000000       1.26357   1.34892 1.56399628205531   1.0322997
2457796.500000000       2.15809   1.73741 1.56459010194757   1.0239353
2457797.500000000       3.05284   2.12542 1.56517910331775   1.0155940
2457798.500000000       3.94794   2.51288 1.56576326465642   1.0071543
2457799.500000000       4.84346   2.89969 1.56634249913815   0.9985217
2457800.500000000       5.73949   3.28575 1.56691667074027   0.9896108
2457801.500000000       6.63613   3.67098 1.56748559938484   0.9803577
2457802.500000000       7.53347   4.05528 1.56804907281516   0.9707137
2457803.500000000       8.43158   4.43856 1.56860685306888   0.9606378
2457804.500000000       9.33056   4.82073 1.56915868012787   0.9500939
2457805.500000000      10.23049   5.20170 1.56970427384847   0.9390477
2457806.500000000      11.13144   5.58136 1.57024333398209   0.9274642
2457807.500000000      12.03350   5.95964 1.57077554037445   0.9153103
2457808.500000000      12.93674   6.33643 1.57130055508852   0.9025563
2457809.500000000      13.84125   6.71164 1.57181802746254   0.8891942
2457810.500000000      14.74708   7.08517 1.57232760711074   0.8752299
2457811.500000000      15.65431   7.45692 1.57282895590506   0.8607029
2457812.500000000      16.56300   7.82681 1.57332176934489   0.8456904
2457813.500000000      17.47321   8.19473 1.57380579794610   0.8303054
2457814.500000000      18.38501   8.56057 1.57427972928521   0.8146904
2457815.500000000      19.29845   8.92425 1.57474575023262   0.7990024
2457816.500000000      20.21358   9.28567 1.57520272703454   0.7833985
2457817.500000000      21.13047   9.64471 1.57565075025132   0.7680205
2457818.500000000      22.04916  10.00129 1.57608998539546   0.7529850
2457819.500000000      22.96971  10.35530 1.57652065635699   0.7383765
2457820.500000000      23.89219  10.70665 1.57694302601085   0.7242454
2457821.500000000      24.81664  11.05523 1.57735737596396   0.7106062
2457822.500000000      25.74314  11.40096 1.57776398631674   0.6974395
2457823.500000000      26.67174  11.74373 1.57816311682522   0.6846955
2457824.500000000      27.60250  12.08345 1.57855499158633   0.6723011
2457825.500000000      28.53548  12.42003 1.57893978735317   0.6601674
2457826.500000000      29.47074  12.75337 1.57931762729246   0.6481991
2457827.500000000      30.40835  13.08338 1.57968857963823   0.6363027
2457828.500000000      31.34836  13.40996 1.58005266066693   0.6243923
2457829.500000000      32.29081  13.73303 1.58040983998602   0.6123924
2457830.500000000      33.23577  14.05248 1.58076004687091   0.6002390
2457831.500000000      34.18328  14.36823 1.58110317608651   0.5878759
2457832.500000000      35.13339  14.68019 1.58143909197079   0.5752531
2457833.500000000      36.08613  14.98825 1.58176763038061   0.5623217
2457834.500000000      37.04155  15.29233 1.58208859866614   0.5490317
2457835.500000000      37.99968  15.59233 1.58240177476736   0.5353307
2457836.500000000      38.96056  15.88816 1.58270690467416   0.5211626
2457837.500000000      39.92420  16.17973 1.58300370567277   0.5064810
2457838.500000000      40.89063  16.46694 1.58329186852530   0.4912467
2457839.500000000      41.85987  16.74970 1.58357106931965   0.4754494
2457840.500000000      42.83193  17.02792 1.58384098889097   0.4591176
2457841.500000000      43.80681  17.30151 1.58410133904431   0.4423306
2457842.500000000      44.78450  17.57036 1.58435189180433   0.4252174
2457843.500000000      45.76501  17.83439 1.58459250563415   0.4079448
2457844.500000000      46.74831  18.09351 1.58482314181961   0.3906986
2457845.500000000      47.73445  18.34762 1.58504455818208   0.3736452
2457846.500000000      48.72330  18.59662 1.58525552370562   0.3569333
2457847.500000000      49.71490  18.84042 1.58545696328862   0.3406743
2457848.500000000      50.70923  19.07895 1.58564915972570   0.3249359
2457849.500000000      51.70626  19.31210 1.58583242555859   0.3097524
2457850.500000000      52.70598  19.53980 1.58600708420503   0.2951311
2457851.500000000      53.70836  19.76197 1.58617345564596   0.2810507
2457852.500000000      54.71339  19.97851 1.58633184246503   0.2674750
2457853.500000000      55.72102  20.18935 1.58648252029985   0.2543463
2457854.500000000      56.73124  20.39441 1.58662572756291   0.2415956
2457855.500000000      57.74401  20.59362 1.58676166392615   0.2291572
2457856.500000000      58.75931  20.78691 1.58689048883607   0.2169584
2457857.500000000      59.77709  20.97418 1.58701232005267   0.2049290
2457858.500000000      60.79731  21.15539 1.58712723506103   0.1929981
2457859.500000000      61.81993  21.33045 1.58723527163737   0.1811012
2457860.500000000      62.84491  21.49931 1.58733643263390   0.1691801
2457861.500000000      63.87218  21.66188 1.58743068711584   0.1571767
2457862.500000000      64.90171  21.81812 1.58751797090790   0.1450319
2457863.500000000      65.93341  21.96796 1.58759818349627   0.1326804
2457864.500000000      66.96724  22.11134 1.58767118597797   0.1200529
2457865.500000000      68.00313  22.24819 1.58773679747387   0.1070751
2457866.500000000      69.04099  22.37848 1.58779479399541   0.0936733
2457867.500000000      70.08076  22.50214 1.58784491302626   0.0797894
2457868.500000000      71.12235  22.61911 1.58788686484383   0.0653909
2457869.500000000      72.16567  22.72936 1.58792035441297   0.0504956
2457870.500000000      73.21061  22.83284 1.58794511469099   0.0351824
2457871.500000000      74.25709  22.92949 1.58796094216327   0.0195916
2457872.500000000      75.30498  23.01928 1.58796772870320   0.0039096
2457873.500000000      76.35419  23.10217 1.58796547936035  -0.0116643
2457874.500000000      77.40458  23.17812 1.58795431117209  -0.0269459
2457875.500000000      78.45605  23.24712 1.58793465046324  -0.0417903
2457876.500000000      79.50848  23.30908 1.58790635447655  -0.0560942
2457877.500000000      80.56177  23.36401 1.58786996757701  -0.0697996
2457878.500000000      81.61579  23.41188 1.58782584483829  -0.0828793
2457879.500000000      82.67044  23.45267 1.58777434885275  -0.0953324
2457880.500000000      83.72560  23.48636 1.58771583742211  -0.1071754
2457881.500000000      84.78118  23.51294 1.58765065534619  -0.1184365
2457882.500000000      85.83705  23.53240 1.58757912796218  -0.1291544
2457883.500000000      86.89312  23.54473 1.58750155606687  -0.1393751
2457884.500000000      87.94928  23.54991 1.58741821216482  -0.1491501
2457885.500000000      89.00542  23.54797 1.58732933759992  -0.1585358
2457886.500000000      90.06144  23.53888 1.58723514022372  -0.1675915
2457887.500000000      91.11723  23.52267 1.58713579322583  -0.1763775
2457888.500000000      92.17270  23.49933 1.58703143436955  -0.1849565
2457889.500000000      93.22774  23.46887 1.58692216510820  -0.1933917
2457890.500000000      94.28224  23.43132 1.58680804945688  -0.2017491
2457891.500000000      95.33612  23.38669 1.58668911194673  -0.2101006
2457892.500000000      96.38926  23.33500 1.58656533421226  -0.2185235
2457893.500000000      97.44158  23.27627 1.58643665021478  -0.2271041
2457894.500000000      98.49296  23.21052 1.58630294316082  -0.2359325
2457895.500000000      99.54332  23.13779 1.58616404223290  -0.2451044
2457896.500000000     100.59256  23.05811 1.58601972646785  -0.2546928
2457897.500000000     101.64058  22.97151 1.58586973934485  -0.2647463
2457898.500000000     102.68727  22.87802 1.58571381161783  -0.2752561
2457899.500000000     103.73253  22.77770 1.58555169930385  -0.2861424
2457900.500000000     104.77626  22.67057 1.58538322426345  -0.2972592
2457901.500000000     105.81835  22.55670 1.58520830756297  -0.3084139
2457902.500000000     106.85870  22.43612 1.58502698658579  -0.3194020
2457903.500000000     107.89721  22.30889 1.58483941192509  -0.3300412
2457904.500000000     108.93379  22.17505 1.58464582836236  -0.3401891
2457905.500000000     109.96835  22.03468 1.58444654938089  -0.3497505
2457906.500000000     111.00079  21.88781 1.58424177185024  -0.3586704
2457907.500000000     112.03106  21.73453 1.58403219368186  -0.3669237
2457908.500000000     113.05907  21.57488 1.58381804254994  -0.3745058
2457909.500000000     114.08475  21.40894 1.58359970398828  -0.3814256
2457910.500000000     115.10805  21.23677 1.58337755560925  -0.3877020
2457911.500000000     116.12892  21.05843 1.58315196289909  -0.3933564
2457912.500000000     117.14730  20.87401 1.58292327640492  -0.3984200
2457913.500000000     118.16314  20.68356 1.58269182745130  -0.4029289
2457914.500000000     119.17642  20.48717 1.58245792419577  -0.4069262
2457915.500000000     120.18708  20.28491 1.58222184815402  -0.4104614
2457916.500000000     121.19510  20.07686 1.58198385041904  -0.4135904
2457917.500000000     122.20046  19.86309 1.58174414789797  -0.4163720
2457918.500000000     123.20312  19.64368 1.58150292149323  -0.4188826
2457919.500000000     124.20308  19.41872 1.58126030636329  -0.4211941
2457920.500000000     125.20032  19.18828 1.58101639369228  -0.4233901
2457921.500000000     126.19483  18.95244 1.58077122389124  -0.4255634
2457922.500000000     127.18659  18.71130 1.58052478134189  -0.4278146
2457923.500000000     128.17561  18.46493 1.58027699020478  -0.4302512
2457924.500000000     129.16188  18.21343 1.58002771287279  -0.4329775
2457925.500000000     130.14541  17.95687 1.57977675531090  -0.4360815
2457926.500000000     131.12618  17.69534 1.57952388219113  -0.4396147
2457927.500000000     132.10420  17.42894 1.57926884522141  -0.4435665
2457928.500000000     133.07946  17.15776 1.57901142031835  -0.4478654
2457929.500000000     134.05196  16.88188 1.57875144600959  -0.4523658
2457930.500000000     135.02170  16.60140 1.57848885825319  -0.4568827
2457931.500000000     135.98868  16.31642 1.57822370363028  -0.4612228
2457932.500000000     136.95289  16.02703 1.57795613587802  -0.4652109
2457933.500000000     137.91436  15.73332 1.57768639794345  -0.4687211
2457934.500000000     138.87308  15.43540 1.57741479439975  -0.4716589
2457935.500000000     139.82909  15.13336 1.57714167354533  -0.4739684
2457936.500000000     140.78240  14.82731 1.57686749845775  -0.4756212
2457937.500000000     141.73303  14.51731 1.57659247118361  -0.4766042
2457938.500000000     142.68103  14.20347 1.57631706937901  -0.4769175
2457939.500000000     143.62643  13.88589 1.57604167930787  -0.4765649
2457940.500000000     144.56927  13.56468 1.57576668298754  -0.4755561
2457941.500000000     145.50959  13.23991 1.57549245502010  -0.4739075
2457942.500000000     146.44743  12.91169 1.57521935951998  -0.4716389
2457943.500000000     147.38287  12.58011 1.57494774598790  -0.4687817
2457944.500000000     148.31593  12.24528 1.57467794298608  -0.4653774
2457945.500000000     149.24670  11.90727 1.57441025174184  -0.4614791
2457946.500000000     150.17521  11.56619 1.57414493939360  -0.4571519
2457947.500000000     151.10155  11.22213 1.57388223200521  -0.4524729
2457948.500000000     152.02577  10.87518 1.57362230757999  -0.4475311
2457949.500000000     152.94795  10.52544 1.57336528963789  -0.4424260
2457950.500000000     153.86815  10.17299 1.57311124147286  -0.4372632
2457951.500000000     154.78645   9.81794 1.57286016294494  -0.4321661
2457952.500000000     155.70292   9.46037 1.57261198192860  -0.4272493
2457953.500000000     156.61762   9.10038 1.57236656221155  -0.4226216
2457954.500000000     157.53064   8.73807 1.57212371007972  -0.4183701
2457955.500000000     158.44203   8.37351 1.57188319244648  -0.4145412
2457956.500000000     159.35188   8.00682 1.57164476497849  -0.4111252
2457957.500000000     160.26023   7.63808 1.57140820797846  -0.4080474
2457958.500000000     161.16715   7.26739 1.57117336088386  -0.4051790
2457959.500000000     162.07270   6.89485 1.57094014896900  -0.4023568
2457960.500000000     162.97695   6.52057 1.57070859491214  -0.3994109
2457961.500000000     163.87995   6.14463 1.57047881545580  -0.3961890
2457962.500000000     164.78177   5.76713 1.57025100717622  -0.3925671
2457963.500000000     165.68248   5.38818 1.57002542624734  -0.3884653
2457964.500000000     166.58214   5.00787 1.56980236865035  -0.3838220
2457965.500000000     167.48083   4.62629 1.56958215848788  -0.3786008
2457966.500000000     168.37862   4.24355 1.56936513647143  -0.3727794
2457967.500000000     169.27558   3.85969 1.56915193098144  -0.3663436
2457968.500000000     170.17179   3.47490 1.56894234541022  -0.3592834
2457969.500000000     171.06735   3.08924 1.56873701937443  -0.3515935
2457970.500000000     171.96231   2.70279 1.56853631721402  -0.3432727
2457971.500000000     172.85678   2.31565 1.56834060190412  -0.3343275
2457972.500000000     173.75082   1.92792 1.56815022977764  -0.3247748
2457973.500000000     174.64454   1.53968 1.56796554349785  -0.3146461
2457974.500000000     175.53802   1.15103 1.56778686184070  -0.3039922
2457975.500000000     176.43134   0.76207 1.56761446908668  -0.2928832
2457976.500000000     177.32461   0.37288 1.56744860305939  -0.2814085
2457977.500000000     178.21790  -0.01644 1.56728944502333  -0.2696743
2457978.500000000     179.11133  -0.40581 1.56713711061026  -0.2578020
2457979.500000000     180.00497  -0.79512 1.56699164313571  -0.2459170
2457980.500000000     180.89893  -1.18430 1.56685301224177  -0.2341503
2457981.500000000     181.79329  -1.57325 1.56672111387160  -0.2226237
2457982.500000000     182.68814  -1.96188 1.56659577768102  -0.2114429
2457983.500000000     183.58358  -2.35010 1.56647678025059  -0.2006840
2457984.500000000     184.47967  -2.73780 1.56636386561992  -0.1903819
2457985.500000000     185.37651  -3.12491 1.56625677168746  -0.1805219
2457986.500000000     186.27417  -3.51131 1.56615525977315  -0.1710380
2457987.500000000     187.17273  -3.89692 1.56605914232109  -0.1618217
2457988.500000000     188.07224  -4.28163 1.56596830277812  -0.1527389
2457989.500000000     188.97279  -4.66535 1.56588270444809  -0.1436503
2457990.500000000     189.87443  -5.04798 1.56580238841199  -0.1344281
2457991.500000000     190.77725  -5.42940 1.56572746389276  -0.1249650
2457992.500000000     191.68131  -5.80954 1.56565809481819  -0.1151798
2457993.500000000     192.58667  -6.18828 1.56559448576193  -0.1050113
2457994.500000000     193.49341  -6.56552 1.56553687153236  -0.0944153
2457995.500000000     194.40159  -6.94117 1.56548550904655  -0.0833605
2457996.500000000     195.31129  -7.31513 1.56544067176209  -0.0718139
2457997.500000000     196.22258  -7.68729 1.56540265098988  -0.0597530
2457998.500000000     197.13553  -8.05755 1.56537093105197  -0.0471542
2457999.500000000     198.05021  -8.42583 1.56534746786342  -0.0339973
2458000.500000000     198.96668  -8.79201 1.56533176725546  -0.0202713
2458001.500000000     199.88503  -9.15600 1.56532416121974  -0.0059718
2458002.500000000     200.80533  -9.51770 1.56532497517333   0.0088795
2458003.500000000     201.72763  -9.87701 1.56533451524520   0.0242339
2458004.500000000     202.65203 -10.23384 1.56535305332864   0.0400221
2458005.500000000     203.57859 -10.58809 1.56538081044588   0.0561367
2458006.500000000     204.50739 -10.93966 1.56541793853398   0.0724480
2458007.500000000     205.43850 -11.28846 1.56546451105405   0.0888138
2458008.500000000     206.37198 -11.63438 1.56552051525741   0.1050845
2458009.500000000     207.30791 -11.97734 1.56558585608936   0.1211218
2458010.500000000     208.24635 -12.31724 1.56566036293742   0.1368053
2458011.500000000     209.18736 -12.65397 1.56574380272668   0.1520411
2458012.500000000     210.13100 -12.98745 1.56583589784022   0.1667692
